"Customer ID","Product ID"
CG-12520,FUR-BO-10001798
CG-12520,FUR-CH-10000454
DV-13045,OFF-LA-10000240
SO-20335,FUR-TA-10000577
SO-20335,OFF-ST-10000760
BH-11710,FUR-FU-10001487
BH-11710,OFF-AR-10002833
BH-11710,TEC-PH-10002275
BH-11710,OFF-BI-10003910
BH-11710,OFF-AP-10002892
BH-11710,FUR-TA-10001539
BH-11710,TEC-PH-10002033
AA-10480,OFF-PA-10002365
IM-15070,OFF-BI-10003656
HP-14815,OFF-AP-10002311
HP-14815,OFF-BI-10000756
PK-19075,OFF-ST-10004186
AG-10270,OFF-ST-10000107
ZD-21925,OFF-AR-10003056
ZD-21925,TEC-PH-10001949
ZD-21925,OFF-BI-10002215
KB-16585,OFF-AR-10000246
KB-16585,OFF-AP-10001492
SF-20065,FUR-CH-10002774
EB-13870,FUR-TA-10000577
EH-13945,OFF-BI-10001634
EH-13945,TEC-AC-10003027
TB-21520,FUR-BO-10004834
TB-21520,OFF-BI-10000474
TB-21520,FUR-FU-10004848
TB-21520,OFF-EN-10001509
TB-21520,OFF-AR-10004042
TB-21520,OFF-AR-10001683
MA-17560,OFF-PA-10000249
GH-14485,TEC-PH-10004977
GH-14485,FUR-FU-10003664
SN-20710,OFF-EN-10002986
SN-20710,FUR-BO-10002545
SN-20710,FUR-CH-10004218
SN-20710,TEC-PH-10000486
LC-16930,TEC-PH-10004093
RA-19885,OFF-ST-10003479
ES-14080,OFF-ST-10003282
ON-18715,TEC-AC-10000171
ON-18715,OFF-BI-10003291
PO-18865,OFF-ST-10001713
LH-16900,TEC-AC-10002167
LH-16900,TEC-PH-10003988
DP-13000,OFF-BI-10004410
DP-13000,OFF-LA-10002762
DP-13000,FUR-FU-10001706
DP-13000,FUR-CH-10003061
JM-15265,OFF-FA-10000304
JM-15265,TEC-PH-10002447
TB-21055,OFF-ST-10000604
TB-21055,OFF-PA-10001569
TB-21055,FUR-CH-10003968
TB-21055,OFF-PA-10000587
TB-21055,TEC-AC-10002167
TB-21055,OFF-BI-10001460
TB-21055,OFF-AR-10001868
KM-16720,TEC-AC-10004633
KM-16720,OFF-BI-10001078
KM-16720,OFF-PA-10003892
KM-16720,FUR-FU-10000397
PS-18970,FUR-CH-10001146
BS-11590,OFF-AR-10002671
BS-11590,TEC-PH-10002726
KD-16270,OFF-PA-10000482
HM-14980,OFF-BI-10004654
TB-21520,OFF-PA-10004675
JE-15745,FUR-CH-10000513
JE-15745,FUR-FU-10003708
JE-15745,OFF-ST-10004123
KB-16600,OFF-BI-10004182
KB-16600,OFF-ST-10000615
JE-15745,FUR-FU-10003194
SC-20770,OFF-AP-10002118
SC-20770,OFF-BI-10002309
DN-13690,OFF-AR-10002053
DN-13690,OFF-ST-10002370
JC-16105,OFF-EN-10000927
CS-12400,OFF-ST-10003656
PO-18865,FUR-CH-10000863
PG-18895,TEC-AC-10001998
PG-18895,OFF-LA-10000134
GM-14455,OFF-ST-10003442
JS-15685,OFF-AR-10004930
JS-15685,TEC-PH-10004093
JS-15685,OFF-PA-10000304
KB-16315,OFF-PA-10003177
KB-16315,FUR-FU-10003799
KB-16315,OFF-BI-10002852
RB-19705,OFF-BI-10004738
PN-18775,FUR-FU-10000629
KD-16345,OFF-BI-10001721
ER-13855,OFF-AP-10000358
RB-19465,OFF-PA-10003256
RB-19465,TEC-AC-10001767
RB-19465,OFF-BI-10002609
GZ-14470,OFF-PA-10004040
LC-16870,TEC-AC-10001552
LC-16870,FUR-FU-10004006
JM-15250,TEC-AC-10003499
JM-15250,TEC-PH-10002844
JM-15250,OFF-AR-10000390
PA-19060,TEC-AC-10000844
CV-12805,FUR-FU-10001934
CL-12565,OFF-AR-10000380
CL-12565,OFF-BI-10003981
RC-19960,OFF-FA-10000621
RC-19960,OFF-EN-10002600
RC-19960,OFF-PA-10004965
RC-19960,OFF-EN-10002504
DK-13090,FUR-TA-10001768
GG-14650,OFF-BI-10003650
SC-20725,FUR-FU-10002157
SC-20725,OFF-BI-10003910
SC-20725,OFF-ST-10000777
SC-20725,OFF-EN-10002500
SC-20725,TEC-PH-10003875
AD-10180,FUR-CH-10004063
PF-19165,FUR-TA-10004534
TS-21610,OFF-BI-10003274
TS-21610,OFF-ST-10002974
LS-16975,FUR-CH-10001146
LS-16975,FUR-FU-10003773
DW-13585,TEC-PH-10002293
DW-13585,OFF-PA-10002377
DW-13585,OFF-FA-10002780
LC-16885,OFF-PA-10001804
LC-16885,OFF-PA-10001736
LC-16885,OFF-AR-10001149
LC-16885,OFF-FA-10002988
LC-16885,OFF-BI-10004781
LC-16885,OFF-SU-10001218
LC-16885,FUR-FU-10001706
JD-15895,FUR-FU-10004848
SH-19975,OFF-AR-10000940
SH-19975,OFF-EN-10004030
SH-19975,OFF-PA-10004327
SG-20080,OFF-AP-10001058
HA-14920,OFF-ST-10003656
MG-17680,FUR-FU-10000521
JE-16165,TEC-PH-10000215
JE-16165,TEC-PH-10001448
JE-16165,FUR-CH-10000454
JE-16165,OFF-BI-10002735
TW-21025,OFF-AP-10000326
TW-21025,TEC-PH-10001254
SP-20650,OFF-PA-10001950
SP-20650,OFF-PA-10002254
SP-20650,OFF-ST-10001590
NK-18490,OFF-AR-10001547
DB-13060,FUR-CH-10004063
NP-18670,OFF-LA-10002475
NP-18670,TEC-PH-10004536
TT-21070,OFF-PA-10002751
EM-13960,TEC-AC-10003657
RD-19900,OFF-EN-10001990
MJ-17740,OFF-BI-10004002
BM-11140,OFF-AR-10004441
BM-11140,TEC-MA-10000822
BM-11140,OFF-ST-10000991
BM-11140,FUR-CH-10004287
BM-11140,OFF-AR-10002656
BM-11140,OFF-AP-10002518
BM-11140,TEC-PH-10003931
CS-12130,OFF-PA-10000659
CS-12130,OFF-PA-10001144
CS-12130,FUR-CH-10003817
JB-15400,OFF-AP-10000891
JB-15400,OFF-LA-10003148
SJ-20500,OFF-AP-10002684
JE-15745,FUR-CH-10004698
JE-15745,OFF-SU-10002189
JK-15640,OFF-AR-10001940
DK-13150,OFF-ST-10003455
DK-13150,TEC-AC-10004659
RM-19675,TEC-PH-10003273
RM-19675,TEC-PH-10004896
RM-19675,TEC-AC-10002345
SK-19990,OFF-BI-10001890
FM-14290,TEC-AC-10002323
AM-10360,OFF-ST-10001328
AM-10360,OFF-PA-10001950
MP-17470,FUR-BO-10002613
MP-17470,TEC-PH-10001552
MP-17470,OFF-PA-10000061
MP-17470,FUR-BO-10002545
MP-17470,OFF-AR-10003514
MZ-17515,OFF-EN-10001509
CB-12025,OFF-AR-10004685
CB-12025,OFF-AR-10004027
VM-21685,OFF-ST-10001414
FH-14365,OFF-PA-10002749
MB-17305,OFF-PA-10002666
BS-11755,FUR-TA-10004289
BS-11755,OFF-AP-10003622
LC-17140,OFF-AP-10003217
HK-14890,FUR-FU-10002960
LE-16810,TEC-PH-10001918
JH-15985,OFF-ST-10000642
JH-15985,TEC-PH-10001700
JH-15985,OFF-BI-10003274
JH-15985,OFF-FA-10000134
JH-15985,OFF-ST-10001522
MS-17980,TEC-AC-10001266
VW-21775,OFF-LA-10004544
VW-21775,FUR-BO-10004695
VW-21775,TEC-PH-10002844
VW-21775,TEC-MA-10000864
VW-21775,TEC-AC-10000109
JH-15910,OFF-ST-10001328
JH-15910,TEC-PH-10002563
JB-15925,OFF-FA-10000585
JB-15925,OFF-PA-10004000
JB-15925,OFF-BI-10002852
JB-15925,FUR-FU-10000087
JB-15925,TEC-MA-10001148
JB-15925,OFF-AR-10001958
DS-13180,OFF-AR-10001026
DS-13180,FUR-TA-10003748
